article_text,article_id,article_URL,article_heading,category,article_date,article_page,article_page_sequence,article_snippet,article_Trove_URL,article_edition,article_title_id,article_title_title,article_relevance_score,article_relevance_value
"Aboriginal  Tradition.                     About  six  miles  from  Portland  (Vic.)  there  are  a  number  of  beautiful  caves.  In  connection  with  one  of  them  there  is  a  strange  tradition  among  the  blacks  of  the  district.  A  few  years  ago  a  petrified  animal  was  found  lying  among  a  mass  of  stalagmites.  This   was  said  to  be  a  lion,  which  had  flourished  in  the  locality  nearly  a  century  ago.  According  to  the  story  related,  a  vessel  arrived  near  the  spot  where  Portland  now  stands,  and  the  captain  sent  ashore  his  first  mate  and  a  boat  load  of  seamen  to  obtain  water.  While  so  engaged,  the  aboriginals  attacked  the  party  and  speared  the  mate,  who  subsequently  died  from  his  wounds,  and  was  buried  at  sea.  Not  having  sufficient  men  or  arms  at  his  disposal  to  send  a  punitive  expedition  after  the  blacks,  the  captain  sailed  away,  but  still  carrying  with  him  the  idea  of  one  day  retaliating  on  the  murderers.  A  year  later  he  visited  South  Africa,  and  there  purchased  a  lion.  On  his  next  trip  to  Australia  he  went  out  of  his  way  to  visit  Portland,  and  sending  the  lion  ashore  in  a  cage,  there  released  it.  The  animal  lived  for  some  years,  killing  and  eating  a  number  of  blacks,  and  at  last  succumb-  ing  to  old  age  in  the  cave  where  its  petrified  body  was  discovered.",107196484,https://api.trove.nla.gov.au/v3/newspaper/107196484,Aboriginal Tradition.,Article,1906-11-09,3,3,ABOUT six miles from Portland (Vic.) there are a number of beautiful caves. In connection with one of them there is a strange tradition among the blacks,https://nla.gov.au/nla.news-article107196484?searchTerm=aboriginal,,514,The Peak Hill Express (NSW : 1902 - 1952),213.351806640625,very relevant
"ABO&HHNAL  NAMES.   There  is  the  authority  of  Pope,  that  'little  hook  backed  creature,'  for  remarking  that  'the  proper  study  of  mankind  is  man.'  It  is  a  pleasant  study,  and  a  profitable,  and  he  who  pursues  it  with  assiduity  and  zest  both  benefits  himself  and,  if  he  give  forth  his  knowledge  to  the  world,  his  fellowmen.  The  observance  of  characteristic  fellow-men.  The  observance  of  characteristic  is  no  less  fraught  with  interest  to  the  anthropo  logical  student  than  the  study  of  the  traits,  intel  lectual  endowments,  and  moral  worth  of  the   Great.  But  because  the  great  and  distinguished  live  always  in  the  fierce  glare  of  the  light  of  fame,  iheir  ways  and  methods  commend  themselves  most  readily  to  the  observatory  appetite.  Now,  take  the  case  of  Mr.  O'Sullivan,  whose  name  is  not  unfamiliar  to  readers  of  these  columns.  From  time  to  time  it  has  been  the  pleasing  duty  of  the  press  to  chronicle  the  many  embryonic  achieve  ments,  in  the  paths  of  science  and  the  arts,  with  which  the  fertile  brain  of  the  Minister  for  Works  is  full.  The  High  Ideal  has  ever  been  his  mo  tive.  It  is  only  necessary  to  mention  'Australia  Facing  the  Dawn,'  Lyne  Park,  the  romantic  tram  shed  on  the  site  of  Fort  Macquarie,  the  pointed  white  thing  which  stands  in.  Queen's  Square,  the  new  railway  station,  the  Pitt-street  tram,  the  fer  tile  farm  amongst  the  Randwick  eand  hills  —  just  a  few  of  many  deeds  accomplished,  incomplete,  or  shelved  —  to  remind  our  readers  of  the  infinity  of  intellectual  parts,  whose  benefit,  by  the  mercy  of  Fate,  we  enjoy  in  the  possession  of  Mr.  O'Sulli  van.  He  has  triumphed  in  art  and  architecture,  and  now  he  is  about  to  triumph  in  what  may  be  termed,  so  far  as  Australia  is  concerned,  archaic  philology.  By  his  direction,  an  officer  of  the  Harbors  and  Rivers  Department  has  prepared  a  list  of  aboriginal  names  of  localities,  with  their  meanings,  in  order  to  provide  a  kind  of  christen  ing-dictionary  for  the  new  vessels  which  may  be  added  from  time  to  time  to  the  already  large  fleet  owned  by  the  State.  It  is  a  very  lengthy  list,  however,  and  much    as  such  a  thing  is  to  be  de  sired,  there  can  hardly  be  likelihood  of  Mr.  O'Sul  livan's  remaining  in  office  for  a  sufficiently  long  term  to  buy  or  build  enough  vessels  on  which  to  use  it  all  up.  At  10  o'clock  to-day  a  be  ginning  was  made  of  the  new  series  by  the  launch  of  the  'Yimmang.'  The  'Burunda'  and  the  'Wollomba'  will  also  be  named  shortly.  It  is  a  pretty  list,  and,  no  doubt,  Mr.  O'Sullivan  will  succeed  in  considerably  enriching  the  litera  ture  of  the  harbors  and  rivers  before  the  time  comes  for  his  departure  from  the  helm  of  the  Works  Department.  But,  glancing  casually  over  the  names  selected,  there  are  two  against  the  employment  of  which  it  is  only  friendly  to  warn.  Mr.  O'Sullivan.  'Yoolaugh'  (the  name  of  'file  land  where  our  Botanic  Gardens  are  situated)  might  be  taken  to  imply  that  tbe  beholder  of  a  possible  vessel  so  named  would  be  moved  to  mirth  at  the  expense  of  the  Minister  who  so  named  her  and  'Minyago  Yugilla'  (why  weepest  thou?)  would  perhaps  suggest  that  his  schemes  for  beautifying  all  things  moved  the  taxpayer  to  tears,  rather  than  that  they  inclined  him  to  hap  piness  in  the  paying  for.",113870079,https://api.trove.nla.gov.au/v3/newspaper/113870079,ABORIGINAL NAMES.,Article,1902-01-11,4,4,"There is the authority of Pope, that ""little hook-backed creature,"" for remarking that ""the proper study of mankind is man."" It is a pleasant study, and e profitable, and he who pursues it",https://nla.gov.au/nla.news-article113870079?searchTerm=aboriginal,,508,"Evening News (Sydney, NSW : 1869 - 1931)",213.351806640625,very relevant
"ABORIGINAL  SKELETON.   Some  time  ago  a  complete  aboriginal   skeleton  was  unearthed  at  the  estate  of  Mr.  George,  near  the  Barwon  River  at  Barrabool  Hills.    Mr.  A..V.  Doeble,  a   district.  school  teacher,  applied  to  take  possession  of  the  skeleton  for  scientific  observation,  but  has  waived  his  claim  in  favor  of  Professor  Berry,  of  the  Anatomy.  department,  Melbourne  University,  where  the  skeleton  has  just  been  sent.",147643662,https://api.trove.nla.gov.au/v3/newspaper/147643662,ABORIGINAL SKELETON.,Article,1907-08-12,2,2,"Some time ago a complete aboriginal skeleton was unearthed at the estate of Mr. George, near the Barwon River at Barrabool Hills. Mr. A..V. Deeblo, a",https://nla.gov.au/nla.news-article147643662?searchTerm=aboriginal,,558,Geelong Advertiser (Vic. : 1859 - 1929),213.351806640625,very relevant
"ABORIGINAL  LABOUR.   The  Home  Secretary's  Department  is  at  present  engaged  making  inquiries  into  the  increased  demand  for  aboriginal  labour,  which  is  being  experienced  in  the  north  in  connec-  tion  with  beche  de  mer  and  similar  industries.  This  is  understood  to  be  due  to  a  number  of  Papuans  previously  employed  having  been  found  unsuitable,  with  the  result  that  they  have  had  to  be  returned  to  their  own  is-   land.",14871478,https://api.trove.nla.gov.au/v3/newspaper/14871478,ABORIGINAL LABOUR.,Article,1908-01-07,8,8,"The Home Secretary's Department is at present engaged making inquiries into the increased demand for aboriginal labour, which is being experienced in the north in",https://nla.gov.au/nla.news-article14871478?searchTerm=aboriginal,,35,The Sydney Morning Herald (NSW : 1842 - 1954),213.351806640625,very relevant
"Aboriginal  Protection.   During  April  no  fewer  than  eight  persons  were  fined  £20  each  and  costs  for  supply   ing  liquor,  opium,  &c,.  to  aboriginals.  In  addition,  two  Chinese  were  fined  £10  each.   The  offences  were  committed  in  different  parts  of  the  State.",19449847,https://api.trove.nla.gov.au/v3/newspaper/19449847,Aboriginal Protection.,Article,1906-05-15,7,7,"During April no fewer than eight persons were fined £20 each and costs for supplying liquor, opium, &c., to aboriginals. In addition, two Chinese were fined £10 each.",https://nla.gov.au/nla.news-article19449847?searchTerm=aboriginal,,16,The Brisbane Courier (Qld. : 1864 - 1933),213.351806640625,very relevant
"ABORIGINAL  CRIMINALS.   The  three  aboriginals  Nim,  Sam  and  Robert,  who  killed  a  civilised  black  from  the  borders  of  Queensland  last  January,  were  yesterday  found  guilty  of  manslaughter,  at  Port  Dar-  win.    Nim  was  sentenced  to  two  years,  and  the  other  two  to  three  years.",200951013,https://api.trove.nla.gov.au/v3/newspaper/200951013,ABORIGINAL CRIMINALS.,Article,1907-03-29,3,3,"The three aboriginals Nim, Sam and Robert, who lolled a civilised black from the borders of Queensland last January, were yesterday found",https://nla.gov.au/nla.news-article200951013?searchTerm=aboriginal,,971,"The South Eastern Times (Millicent, SA : 1906 - 1954)",213.351806640625,very relevant
"Aboriginal  Deportment.   ""  If  you  got  a  rear  View  of  an  Australian  black  woman,  you  say,  '  There's  a  fine  woman    carries  herself  like  a  regular  Venus  !  '  but  if  she  turns,  and  you  see  her  face,  you  are  disillusioned,  for,  without  doubt,  our  native  women  are  about  tho  ugliest   creatures  imaginable—low  foreheads,  ugly  mouths,  short,  flat  noses,  small  eyes  !  But  they  do  know  how  to  walk,  which  is  more  than  their  civilised  sisters  do.  It  is  positively  painful  to  come  from  Central  Australia  back  to  Sydney  and  Melbourne,  and  watch  the  white  women—  particularly  the  fashionably-dressed  ones  —  walk  the  streets.  They  seem  to  me  to  have  absolutely  no  idea  of  proper  carriage.  They  should  go  to  the  interior  to  take  some  lessons  from  the  aborigines.  Certainly,  the  black  woman  has  the  advantage  of  being  unrestric-  ted  by  fashionnable  garments  (in  many  places,  in-  deed,  garments  of  any  sort),  but  there  is  no  reason  that  I  can  see  why  civilised  folk  should  not  acquire  the  upright  carriage,  easy  swing,  and  graceful  bearing  of  the  blacks,  ""—Professor  Spencer,  in  ""The  New  Idea""  for  October.",217889261,https://api.trove.nla.gov.au/v3/newspaper/217889261,Aboriginal Deportment.,Article,1904-10-14,4,4,"""IF you get a rear View of an Australian black woman you say. 'There's a fine woman ; carries herself like a regular Venus I' but if she turns, and you see her face, you are disillusioned, for, without",https://nla.gov.au/nla.news-article217889261?searchTerm=aboriginal,,902,Glen Innes Examiner and General Advertiser (NSW : 1874 - 1908),213.351806640625,very relevant
"ABORIGINAL  MURDERS.   IT  is  long  since  the  public  mind  has  been  so  stirred  as  it  has  been  this  week  by  the  recital  of  the  terrible  murders  which  took  place  near  Gilgandra  on  Friday  night  last.  The  remnants  of  aboriginal  tribes  are  so  frequently  to  be  met  with  in  the  country  districts  throughout  this  colony,  and  the  individuals  comprising  them  have  generally  borne  such  an  inoffensive  character,  that  a  murderous  outbreak  such  as  that  reported  from  Breelong,  has  spread  a  feeling  of  consternation  and  alarm  among  white  settlers  living  in  remote  and  isolated  localities  where  the  presence  of  a  black's  camp  is  looked  upon  as  having  no  particular  element  of  danger  about  it.  But  the  character  of  the  black  savage  has  not  changed  even  when  brought  under  the  influence  of  a  bush  civilization,  and  it  only  requires  the  opportunity  for  him  to  develop  and  carry  into  execution  the  worst  and  vilest  instincts  of  his  nature.  So  far  as-we  can  learn  from  the  evidence  there  seems  to  have  been  no  personal  feeling  of  ill-will  between  the  murderers  and  their  victims.  Mr.  Mawbey,  whose  home  has  been  so  terribly  desolated  by  this  outrage,  was  a  settler  in  comfortable  circumstances  and  the  owner  or  occupier  of  several  thousand  'acres  of  land.  With  his  sons  he  appears  to'have  worked  his  little  estate,  employing  casual  labour  when  he  required  it.  For  several  months  past,  about  three  miles  from  the  Mawbey  homestead,  some  four  or  five  adult  blacks  and  half-castes,  with  a  white  woman  and  several,  children,  have  had,their  camp  in  the  usual  blackfellow  fashion.  The  woman,  or  rather  a  girl  eighteen  years  of  age,  has  stated  that  she  was  legally  married  to  one  of  the  blackfellows  and  that  she  Jived  with,  her  husband  in  the  black's  camp,  Souie  of  the*  men  had  taken  a  fencing  contract  from  Mawbey,  and  with  the  exception  that  on  one  occasion  when  a  small  lot  of  posts*were  rejected  there  seems  to  have  been  no  cause  of'  disagreement  be-  -  tween  the  parties.  The  men  were  earning  good  wages  and  were  in  the  habit  of  keeping  their,  camp  well  supplied  with  rations.  An  hour  or  «o  before  'the  .'outbreak  the  woman  and  her  husband  had  some  words,  the  latter  accusing  his  wife.of-being  '!-SKeet  ""  on  another-blackfellow.  On  Friday  nigbt  Mawbey  and  one  or  two  'of  his  elder,  sons  were  sleeping  some  three  quarters  of  a  mile  away  :  from  the  house  occupied  by  Mrs.  Mawbey  .and  .the  other  chUdrpo,  most  of  whom  werfe  gttfs,  ""together  w'jth""  a  young  woman  whose  occupation  was  that  of  a  school  teacher..  About  II  o'clock.at  night  Mawbey  and  his  sons,  who  were  in  bed,  were  visited  by  the'blacks,  but  after  inquiries  about  some  flour  that  was  to  be  given  them  next  day  the  men  left.  Little  did  the  father  anticipate  the  trouble  i<liat  was  brewing,  for  the  miscreants  had  been  gone  iiarely.  half  an  hour  when  one  of  Ijfs  younger.?  children  came  U>  him  telling  hiinthafc&he  blacka  bajd  commenced  tbeir  mui'derousWorli.'  .  Father  :and  sons  sped  hot  foot  to  the  homestead  only  to  find  that  the  child's  et-ory  was  fearfully  true,  that  the  mother  and  two  of  her  children  with  the  teacher,  bad  been  most  cruelly  biitcher^.  aiid  that  tlie  jnurderers  were  the  tnen  who  had  visited'.  the  'liuabaiid  aDd  father  only  a  short  half-hour,  previously.  The  three  youngest  children.  miraculously  eluded  the  observation  of  the  murderers  i^iVd  spjessaped.  ja.  fearful  ..death.  .  TottiuliaiykB  andniilla.-hu1.lihB  Were  used  in  killing  Mie  vi^t&i^  barbarous  character.  Tte.neps  ofioch  A  tragedy  v.  spread  ltfe  wildfire.  and  ^  ana  «a  for  ii  haifjt  in  tlje  mountains.  At  do  inquest  held  p  r  i  '  t  h  e  nn-  '.  with  the  blacks,  (ja^  Tcwdetiee'  of  'a  '  m  character  ngaiou.  bcr.husband,  and  stated  that  he  bad  iiifohn<-d  of  '  his  intention  -to  become  a  j  bushranger,  and  tji'fttf*he  jiad  ^letter  clear  out  or  j  he  wrmld  IdU  lier  ^  well.  Thfi  luet  for  blood  was  j  striiigsipbn  4tOb  v  oraeii^^Wt2siin9('for  before  i  the  inquest  was  concluded  and  while  some  of  the  !  «ctims  wer/'j'et  unbitried,  Veppris  werv  current  j  of  furtlici-  tiu  t',agee.""  1  Dii  Monday  word  came  from  |  feidgqbJWivtiv  settler  iiam?d  ilftckay.Apd  bw-wtfe  -i  liad  been  done  to  death  by.the  mine  ruthless  ^  savngea^swho  had  bv  then  «euured  borseB  und  were  I  ..firmed  with  repeating  -rifles.,  iin  Tuesday  they  j  wore  further  heard  of  from  Merriwa,,  wliere  they  .  had  kitted  A  .wpman  tod  cbildjrjbesidea  Beriously  I    T!)c  il^l  ffttdiUes^o]f<^f(>llw  these  fiendish  !  V'itroaiUji'tijtmf^'^^^^jiit^^/u^'atbff-  victims  .  ,  whoEe  cpndition  js  TfiporUa  -  ii  .^critieal,  and  the  <  f  deaths  ^uUing.troiii  tlife  Series  of  outrages  can  -  j  ^not'j'v  1  ,  JJse  accurately,stated.'.  Oneof  the  black-  j  ,  felUiwe^i)pp6Bed  to_have  Uken  'part'in  the  mur-  t  5  ?  .l|efl£  Saija  V^tbfef-  White  woman  .iH'ife  of  Jimmy  {  tSo  vci-()dr^,  bave  been  placed  under  arrest,  aud  the  !  J  t^TO  fpri^pals,  Jpe  aiiii  ®  mtnj^'Giivernar,  have  1  lieM^o&icl^ohiiiurder^  -(coroner's  -jury  on  the  e^dciice  U^rasgiyen.  Upwardfof  a  ""hundred  '  -J  poIicc,  besidtisUjecoiies  of  moiinted  lnen  from'  the  the  r  fngiUv^.  joiu^-fte  ^yferwn^t  JiB6|)l^!ed  4200  on  a  tbS  heiid  df  ea<ib  trian  pioved^o'lie  conuectcd  with  the  murders...,  ,  !  biaqk  surer.""  Some  fiitv  yeai«""iigo  an  aboriginal  woman  named  Siato'-iafMJb-.'^dfli-tikjuiiMrk.-  »n  iwSoSbnnBt   couple  were  camped  about  a  mile  and-a  half  from  Forbes  at  the  Gum  Swamp,  off  the  Condobolin  road,  and  -theA  were  camped  with  them  two  or  three  other  blacks,  one  named  ""Chalker,""  since  dead,  and  a  well-known  local  coloured  celebrity  answering  to  the  name  of  ""Bnodaburro  Jack.'  Husband  and  wife  had  quarrelled,  and  there  was  drink  in  the  story  somewhere.  The  upshot  of  it  was  that""  Betsy  ""  proceeded  to  mak»!  a  widow  of  herself,  and  she  did  it  most  effectually  by  nearly  hacking  her  husband's  head  off.  From  some  mitigating  circumstances  connccted  with  the  case,  she  was  not  convicted  of  the  capital  offence,,  and  regained  her  liberty  after  some  two  years  confinement  in  Bathurst  gaol.  ""  JACKET  JACKET.""  About  26  years  ago  a  sad  tragedy  was  enacted  some  18  or  17  miles  from  Forbes  oil  the  Bo'gan  road.  Mra.  Howell,  an  elderly  woman  who  resided  with  her  husband  at  Burra  Burra  some  65  or  70  miles  distant,  lial  been  in  town  purchasing  supplies  for  the  station.  Her  eon,  with  a  youth  named  Pulbrook,  had  previously  been  sent  to  Forbes  with  a  team.  After  completing  her  purchases  and  seeing  the  team  loaded  and  started  for  home,  Mrs.  Howell  (who  was  driving  alone  in  a  buggy)  stayed  in  town  for  the  night  and  started  on  her  return  journey  the  next  morning,  expecting  to  overtake  hereon  at  his  first  camp.  Willi  young  Howell  and  Pulbrook  was  a  Queensland  black  whom  they  had  brought  with  them  from  Burra  Burra  to  look  after  the  horses.  On  driving  up  to  the  camp  Mrs.  Howell's  first  thought  was  that  the  boys  had  overslept  themselves,  as  the  dray  had  the  tarpaulin  drawn  all  over  it,  the  horses  were  not  in  sight,  nor  was  there  any  sign  of  a  fire.  On  coming  up  a  little  closer  she  saw  a  naked  foot  showing  under  the  dray  covering,  aud  oti  getting  down  and  lifting  a  corner  of  it  she  was  horrified  at  seeing  the  dead  bodies  of  her  son  and  young  Pulbrook  who  had  evidently  been  cruelly  murdered  in  tbeir  sleep.  Her  suspicions  fell  at  once  on  ""  .lackey  Jackey  ""  the  Queensland  myall  as  the  culprit,  and  as  he  was  nowhere  within  sight  or  hearing  she  drove  hack  to  towi  1  •  in  &  condition  more  dead  than  alive,  to  give  info  mation  to  the  police.  Inspector  Stephenson  who  was  then  in  charge  here,  with  e.  couple  of  mounted  men,  Pye  and  Caban,  and  accompanied  by  one  of  the  best  black-trackers  in  the  lacblan  and  Bogan  districts,  started  in  pursuit  of  the  missing  myall.  The  chase  proved  a  lone  and  tedious  one.  ""  Jackey  ""  lad  bec.n  seen  riding  a  white  horse  b-.longing  to  the  Howell's,  and  he  was  evidently  bent  on  crossing  into  Queensland  as  speedily  as  possible.  He  was  ultimately  taken  near  where  the  town  of  Bourke  now  stands',  and  the  story  of  his  capuiire  as  related  by  the  police  engaged,  in  it  showed  both  his  cunning  and  agility  in  a  marked  degree.  When  first  sighted  by  the  troopers  in  the  bush  some  hundreds  of  miles  from  Forbes  he  was  on  foot,  and  showed  a  inost  determined  opposition  to  being  taken.  He  was  clad  iu  a  shirt  and  trousers,  both  tattered  and  in  vags,  and  was  armed  with  only  a  tomahawk,  but  a  terrible  weapon  iu  the  hand's  .of  an  enraged  and  determined  blackfellow.  For  a  long  time  he  defied  capture,  and  the  police  were  anxious  to  take  liim  without  coining  to  blows.  ""  Jackcy  ""  stood  with  his  back  to  a  tree,  and  on  anyone  approaching  he  sliied  sticks  at  them  with  unerring  accuracy,  some  of  the  men  being  hit  rather  severely.  The  tomahawk  was  reserved  for  the  final  struggle,  when  the  black  was  determined  to  sell  his  life  or  his  liberty  as  dearly  as  possible.  When  the  stick  ammunition  gave  out,  at  a  concerted  signal  ""  Jackey's  ""  attention  was  directed  to  a  given  point,  when  a  rush  was  made  by  one  of  the  police.  It  wr.d  a  case  of  ""do  or  die""  between  both  biack  and  white  men,  and  in  an  instant  ""  Jackey  ""  was  disarmed  and  his  unstained  weapon  secured  ""by  a  trooper.  The  return  journey  to  Forbes  was  uneventful  save  for  one  incident.  The  police  and  their  prisoner  had  got  as  far  as  Phillips'  station  on  the  Bogan  where  they  intended  staying  the  night.  They  were  allowed  the  use  of  a  large  bush  kitchen  in  which  they  were  to  sleep  after  partaking  of  supper.  Then  they  all  lay  down  in  t  heir  blankets,  ""  Jackey  ""  of  course  heavily  ironed.  The  day's  ride  had  been  long,and  tedious,  and  men  and  horses  were  nearly  worn  out.  In  the  middle  of  the  night  the  officer  who  was  supposed  to  have  ""Jackey""  in  hiaspecial  charge  missed  him.  He  was  nowhere  on  the  floor  with  the  others,  and  at  once  the  alarm  was  given.  Soon  every  mail  was  on  his  feel,  and  iust  then  one  of  the  party  espied  ""  Jaekcy's  ""  legs,  while  his  body  was  half  way  up  the  chimney.  Another  minute  and  the  myall  would  had  given  them  leg-bail  for  it.  The  remainder  of  the  journey  was  coinpleted  in  safety,  and  when  Stephenson  rode  with  his  captive  to  the  lock-up  across  the  square  (it  was  not  fenced  then),  hundreds  of  people  crowded  round  cheering  the  police  and  staring  their  hardest  at  poor  ""  Jackey.""  The  myall  was  riding  a  led  horse  as  the  party  came  to  the  lock-up  he  had  still  nothing  on  save  shirt  and  trousers  and  they  were  torn  to  ribands  with  the  wiud  flying  through  them.  Hatless,  he  sat  Iiis  steed  like  a  Centaur,  saying  never  a  word,  but  glowering  like  a  caged  wild  animal  upon  the  assembled  crowd.  In  a  few  brief  moments  he  was  behind  heavy  bolts  and  under  lock  and  key.  He  had  seen  the  last  of  his  liberty,'  and  his  native  Queensland  would  see  him  no  more,  hard  as  he  had  fought  to  get  there:  The  evidence  against  him  was  conclusive.  He  was  tried  and  convicted,  and  shortly  afterwards  wus  hanged  at  Bathurst.",262339445,https://api.trove.nla.gov.au/v3/newspaper/262339445,ABORIGINAL MURDERS.,Article,1900-07-28,4,4,IT is long since the public mind has been so stirred as it has been this week by the recital of the terrible murders which took place near Gilgandra on Friday night last. The remnants of aboriginal,https://nla.gov.au/nla.news-article262339445?searchTerm=aboriginal,,422,Forbes Times (NSW : 1899 - 1902; 1912 - 1920),213.351806640625,very relevant
"ABORIGINAL  CANNIBALS.     A  telegram  from  Ingham  shows  that  two  of  the  three  aboriginals  who  murdered  an-  other,  confessed  to  eating  portions  of  the   body.",4893684,https://api.trove.nla.gov.au/v3/newspaper/4893684,ABORIGINAL CANNIBALS.,Article,1902-04-29,5,5,"A telegram from Ingham shows that two of the three aboriginals who murdered another, confessed to eating portions of the body.",https://nla.gov.au/nla.news-article4893684?searchTerm=aboriginal,,34,"The Advertiser (Adelaide, SA : 1889 - 1931)",213.351806640625,very relevant
"Aboriginal  Navigation.   A  South  Sea  Island  captain  tells  the  following  story  :-  He  was  returning  from  a  recruiting  voy-  age,  and  when  the  ship  was  sighted  the  Queens-  land  coast  one  sunset,  the  wind  fell  and  the  vessel  was  left  drifting  southward  with  the  cur-  rent  at  the  rate  of  a  few  miles  an  hour.  The   captain  consulted  his  chart,  and  finding  that  her  course  would  be  clear  till  the  morning,  turned  in  with  instructions  to  the  mate  to  call  him  at  once  if  the  wind  rose  or  if  anything  out  of  the  common  occured.  At  3  in  the  morning  the  mate  wakened  him  with  the  intelligence  that  a  faint  light  had  become  visible  right  ahead.  The  captain  hurried  on  deck,  and  sure  enough  there  it  was  -  a  faint  glow  rising  and  falling  with  the  motion  of  the  waves.  An  an-  xious  half-hour  ensured,  during  which  the  suspic-  ious  and  unaccountable  glow  became  fainly  more  and  more  visible.  When  the  ship  appeared  to  be  almost  upon  it  its  origins  still  remained  a  mystery.  Consternation  and  trepidation  amid  which  a  voice  came  out  of  the  darkness  from  the  direction  of  the  light  to  this  effect:  ""Heigh,  Boss  You  got  em  tombaccer?""  followed  by  the  barking  of  mongrel  dogs  and  a  shrill  ad-  monishment  to  the  ""lie  down.""  It  was  a  black-  fellow  and  his  gin  making  a  passage  along  the  coast  in  their  bark  canoe,  accompanied  by  their  dogs  and  eternal  firestick.   Considerable  interest  is  being  displayed  in  the  election  of  two  ladies  to  represent  the  sub-  scribers  on  the  committee  of  the  Brisbane  Gen-  eral  Hospital.  There  are  three  candidates.",61397565,https://api.trove.nla.gov.au/v3/newspaper/61397565,Aboriginal Navigation.,Article,1903-10-03,2,2,"A South Sea Island captain tells the following story:—[?] was returning from a recrulting voyage, and when the ship had sighted the Queensland coast one sunset, the wind full and the",https://nla.gov.au/nla.news-article61397565?searchTerm=aboriginal,,64,"Clarence and Richmond Examiner (Grafton, NSW : 1889 - 1915)",213.351806640625,very relevant
