article_text,article_id,article_URL,article_heading,category,article_date,article_page,article_page_sequence,article_snippet,article_Trove_URL,article_title_id,article_title_title,article_relevance_score,article_relevance_value
"Aboriginal   MELBOURNE,  Tuesday  —  The  Victorian  Government  appointed  today  an  Aboriginal  woman,  Mrs  Mollie  Dyer,  to  its  Equal  Opportunity  Advisory  Council.  Mrs  Dyer  is  a  secretary  of  the  Victorian  Aboriginal  Legal  Aid  Service.",110833545,https://api.trove.nla.gov.au/v3/newspaper/110833545,Aboriginal,Article,1977-01-05,3,3,"MELBOURNE, Tuesday.—The Victorian Government appointed today an Aboriginal",https://nla.gov.au/nla.news-article110833545?searchTerm=aboriginal,11,The Canberra Times (ACT : 1926 - 1995),237.77542114257812,very relevant
"Aboriginal   The  first  Aboriginal  ap  pointed  to  the  staff  of  Aboriginal  Hostels  Ltd,  Mr  Harry  Penrith,  37,  took  up  duty  in  Canberra  on  Ocotber  31,  as  the  ex  ecutive  officer  of  the  com  pany,  the  Minister  for  Aboriginal  Affairs,  Sena  tor  Cavanagh,  said  in  Canberra  yesterday.",131690079,https://api.trove.nla.gov.au/v3/newspaper/131690079,Aboriginal,Article,1973-11-03,3,3,"The first Aboriginal appointed to the staff of Aboriginal Hostels Ltd. Mr Harry Penrith, 37,",https://nla.gov.au/nla.news-article131690079?searchTerm=aboriginal,11,The Canberra Times (ACT : 1926 - 1995),237.11126708984375,very relevant
Aboriginal   Officers  of  various  Federal  and  State  Government  dep  artments  and  40  Aboriginal  representatives  from  Queens  land  reserves  and  settlements  began  a  three-day  meeting  in  Cairns  yesterday  to  discuss  the  needs  of  Aboriginal  com  munities.  The  meeting  is  the  second  of  a  series  to  be  con  ducted  throughout  Australia  during  the  next  few  months  by  the  Department  of  Abo  riginal  Affairs.,136991166,https://api.trove.nla.gov.au/v3/newspaper/136991166,Aboriginal,Article,1974-10-14,6,6,Officers of various Federal and State Government departments and 40 Aboriginal representatives from,https://nla.gov.au/nla.news-article136991166?searchTerm=aboriginal,11,The Canberra Times (ACT : 1926 - 1995),236.3577880859375,very relevant
"Aboriginal   The  Minister  for  Abori-   ginal  Affairs,  Mr  Johnson,  said  yesterday  that  169  members  of  his  staff  and  508  industrial  employees  of  his  department  were  Abori-   ginal.  They  represented  19  per  cent  of  his  staff  and  46  per  cent  of  his  total  em-  ployees,  he  told  Mr  Sned-   den  (Lib,  Vic).",110655562,https://api.trove.nla.gov.au/v3/newspaper/110655562,Aboriginal,Article,1975-08-29,6,6,"The Minister for Aboriginal Affairs, Mr Johnson, said yesterday that 169 members of his staff and",https://nla.gov.au/nla.news-article110655562?searchTerm=aboriginal,11,The Canberra Times (ACT : 1926 - 1995),236.30393981933594,very relevant
"Aboriginal   'embassy'      Sir,  -  Having  just  returned  from  several  months  in  a  coun-  try  ruled  by  a  military  dictator-   ship,  I  was  horrified  to  find  our   own  so-called  democracy  being  so  blatantly  abused.  I  refer  to  the  Attorney-General's  attitude  towards  the  prosecution,  of  those  charged  in  connection  with  the  Aboriginal  ""embassy""  affair,  as  stated  by  Mr  Enderby,  on  his  TV  program.  In  the  A-G's  thinking  those  charged  believed  they  were  breaking  the  law,  ev,en  though  the  court  ruled  later  that  the  law  was  inoperative  at  the  time.  ,   What  price  democracy,  if  people  can  be  charged  for  breaking  a  law  that  is  nof  a  law,  while  others  are  acquitted  be  cause  of  a  technicality.   (Mrs)  M.  KORRES  NSW.",102005731,https://api.trove.nla.gov.au/v3/newspaper/102005731,Aboriginal 'embassy',Article,1972-09-25,2,2,"Sir,—Having just returned from several months in a country ruled by a military dictatorship,.I was horrified to find our",https://nla.gov.au/nla.news-article102005731?searchTerm=aboriginal,11,The Canberra Times (ACT : 1926 - 1995),213.351806640625,very relevant
"Aboriginal  printery   SYDNEY,  Sunday.  —  A  commercial  printing  works  administered  by  Aboriginal  organisations  would  be  built  at  Lawson,  in  the  Blue  Mountains,  the  Minister  for  Decentralisation  and  De-  velopment,  Mr  Fuller,  said   today.   The  Government  had  ap-  proved  a  $24,200  grant  for  the  premises  to  be  operated  by  Mission  Publications  of   Australia.   The  Blue  Mountains  City  Council  would  give  a  $12,100  loan  to  the  project.  Mission  Publications  was  administered  jointly  by  the  United  Aborigines  Mission  and  the  Aborigines  Inland  Mission,  Mr  Fuller  said.",110448185,https://api.trove.nla.gov.au/v3/newspaper/110448185,Aboriginal printery,Article,1971-01-11,8,8,"SYDNEY, Sunday.—A commercial printing works administered by Aboriginal organisations would be built",https://nla.gov.au/nla.news-article110448185?searchTerm=aboriginal,11,The Canberra Times (ACT : 1926 - 1995),213.351806640625,very relevant
"Aboriginal   rights   Sir,  —  Recently  I  visited  the  National  Aboriginal  Government  who  are  now  sitting  at  Capital  Hill,  and  it  is  my  opinion  that  these  members  of  an  oppressed  nation  are  more  than  justified  in  their  current   actions.   The  Aboriginal  people  are  fight-  ing  for  their  human  rights  as  a  nation  within  a  nation  —  for  they  have  never  relinquished  their  sov-  ereignty  over  this  land.  Yet  both  in  our  past  and  present  occupation  of  Australia,  we  have  denied  them  their  basic  land  rights  and  the  opportunity  to  administer  and  control  their  own  welfare  and  lifestyles.   One  of  the  main  demands  of  the   National  Aboriginal  Government  is  that  a  Federal  Bill  of  Rights  be  included  in  the  Federal  Constitution.  It  would  guarantee  the  Aboriginal  nation  compensation  for  being  alien-  ated  from  their  traditional  lands;  compensation  also  for  the  white  man's  interference  in  their  lives  as  Aboriginal  people.   This  Federal  Bill  of  Rights  would  also  guarantee  that  a  fixed  per-  centage  of  the  Gross  National  Prod-  uct  be  handed  over  to  an  Aboriginal  forum,  elected  by  Aboriginal  people,  enabling  them  to  administer  and  control  their  own  lives.   It  could  also  guarantee  that  tribal  Aboriginal  lands  and  the  property  rights  in  freehold  be  immediately   handed  to  the  traditional  owners.   I  would  strongly  support  that  such  a  Federal  Bill  of  Rights  be  in-  troduced  into  the  Federal  Constitu-  tion.  This  would  guarantee  the  Aboriginal  nation  their  basic  human  rights,  which  the  white  man  has  unforgivably  denied  them  in  the  past.  I  urge  the  Government  and  the  community  to  take  prompt,  direct   action  on  this  most  serious  issue.   ANNE  FORBUTT  O'Connor.",110607026,https://api.trove.nla.gov.au/v3/newspaper/110607026,Aboriginal rights,Article,1979-10-20,2,2,"Sir,—Recently I visited the National Aboriginal Government who are now sitting at Capital Hill, and it is my opinion that these",https://nla.gov.au/nla.news-article110607026?searchTerm=aboriginal,11,The Canberra Times (ACT : 1926 - 1995),213.351806640625,very relevant
"ABORIGINAL  PROTEST   LONDON,  Wed,  AAP  —  Three  Aboriginal  in  -  vaders  waded  ashore  near  Dover  today  and  planted  a  flag  claiming  England  for  the  Australian  Aboriginals.   The  men  were  cam-  paigning  for  a  better  deal  for  Australia's  Aboriginals  and  told  onlookers  that  their  action  was  in  retalia-  tion  for  the  way  ""Cap-  tain  Cook  stole  our  land,  culture  and  trad-  itions"".  But  their  plans  re-  ceived  a  setback  when  their  tiny  dinghy  be-  gan  to  take  in  water  and  finally  floundered  just  before  it  reached  land.  The  three  men  got  out  and  waded  ashore  to  plant  their  flag.",250568925,https://api.trove.nla.gov.au/v3/newspaper/250568925,ABORIGINAL PROTEST,Article,1976-11-04,7,7,"LONDON, Wed, AAP Three Aboriginal invaders waded ashore neae Dover today and",https://nla.gov.au/nla.news-article250568925?searchTerm=aboriginal,1376,Papua New Guinea Post-Courier (Port Moresby : 1969 - 1981),213.351806640625,very relevant
Aboriginal  health   Kalgoorlie:  The  Aboriginal  Affairs  co-ordinating  committee  here  says  that  scarcity  of  water  jeopardises  the  Cundeelee  Aboriginal  community's  future.   Federal  funding  for  housing  and  infrastructure  is  not  available.  The  public  health  situation  in  the  camp  area  is  appalling.  The  national  trachoma  team  which  visited  Cundeelee  earlier  this  year  reported  that  eye  and  respiratory  ailments  are  chronic.  Facilities  and  housing  are  urgently  needed  and  50-60  homeless  and  transient  Aborigines  were  living  in  the  bush  near  Kalgoorlie.,259553057,https://api.trove.nla.gov.au/v3/newspaper/259553057,Aboriginal health,Article,1979-08-01,6,6,Kalgoorlie: The Aboriginal Affairs co-ordinating committee here says that scarcity of water jeopardises the Cundeelee,https://nla.gov.au/nla.news-article259553057?searchTerm=aboriginal,1002,"Tribune (Sydney, NSW : 1939 - 1991)",213.351806640625,very relevant
"Aboriginal  candidate   SYDNEY,  Tuesday.  -  The  national  executive  of  the  Australia  Party  con  firmed  today  reports  that  an  Aboriginal  may  be  en  dorsed  as  its  second  candi  date  to  contest  the  Nor  thern  Territory  electorate  at  this  year's  Federal  elec   tion.   Mr  Gordon  Briscoe,  34,  president  of  the  Aboriginal  Medical  Service  in  Sydney,  had  been  unanimously  recommended  by  the  executive  for  endorsement.  Aborigines  make  up  40%  of  the  Northern  Territory's  population  and  their  votes,  although  not  compulsory,  are  expected  to  he  crucial.",102005113,https://api.trove.nla.gov.au/v3/newspaper/102005113,Aboriginal candidate,Article,1972-09-20,9,9,"SYDNEY, Tuesday. — The national executive of the Australia Party confirmed today reports that",https://nla.gov.au/nla.news-article102005113?searchTerm=aboriginal,11,The Canberra Times (ACT : 1926 - 1995),213.08029174804688,very relevant
