article_text,article_id,article_URL,article_heading,category,article_date,article_page,article_page_sequence,article_snippet,article_Trove_URL,article_edition,article_title_id,article_title_title,article_relevance_score,article_relevance_value
"I  PROHIBITED  IMMIGRANT.  I   Detective-Sergeant  Macmanamny  last  night  arrested  Jean  Francois  better  for  being  a  prohibited  immigrant.  The  man  arrived  by  the  French  steamer  Nera  on   the  20th  inst,  after  having  been  refused  admission  at  Fremantle,  on  the  ground  that  he  was  of  a  weak  intellect  On  reaching  Melbourne,    however,    ATettcr  escaped,  and  the  guard,  who  accompanied  him  on  the  voyage  went  on  a  trip  to  Sydney  Deter  the  sergeant  Macmanamny,  however,  traced  the  men  to  an  hotel  in  Flinders-street,  and  last  night  lodged  him  in  the  City  Watch   house.",10606753,https://api.trove.nla.gov.au/v3/newspaper/10606753,PROHIBITED IMMIGRANT.,Article,1904-03-31,6,6,Detective-Sergeant Macmanamny last night arrested Jean Francois Vetter for being a prohibited immigrant. The man arrived by the French steamer Nera on,https://nla.gov.au/nla.news-article10606753?searchTerm=Immigrant,,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",236.67529296875,very relevant
"PROHIBITED  IMMIGRANT.     Cob  Uli  Josi  per  ss  In  port  -  n  s  Syrian    miss   January,  last  befalls    him  to  Australia  and    logging  mission  was-  refused  pp  runs  on  to  I am    to  9  a  m  until  June  Adt  I  miss,  limit  with    flaunted  ation  Theatre   tion  Act  II.  arrived  in  Port  AM  I  building  by  His  1!  Art    An    tun  i  Italian  )   lb  was  again  met,  ringlets  by  an.  I  unusual  claim  -  and  Ah  II  II  Pass  A  -I.  want,  sun  fairy  tm  1  we  must  Albury  and  H  was  sure  the  filly  iiiiiiiuut'ni  that  the  .niitlioiilit«  Livy  no  useful  to  reverse  Ide  of  using  a  tin  with  a  lie tralian  unit  i  in  latitude  ,li»,i«pii  will    Itienlen,  not  I  am  ninth  I  to  him  in  any  part  of  Un  (  manoeuvre  till   June  will  be  well  to  turn  in  the  fruit  industry  in  some!  t  tier  pine     It  w  s  h  am  in  runs  in  on  with  til   prohibiting  animals  met  in,  the  April  mail  and  I  nothing,  but  cannot  see  it    but  he  shines  man    I  had  sown  his  bail,  in  Turku  He'  has  now  windmills  from  his  l*un»i»t""iii  it  for  ago  a  dun  li  in  mudstones  and  II  by  6  HIS  similar  institution  in  Au,  li  du  w  hen  an  encounter  he  states  that  In  did  at  sugar  in  pint  h  in  Anarchy   lb  This  is  usual  to  oil,,  Union    s  at  bulli  in    w  e  Inn  I  III  his  list  is  a  town  Luxe    in  six  to  nine  and  limited  in  Perth  this,  ml  much  t  din  sums  for  the  Mines  purposes  and   ing  the  last  18  months  and  in  Italy  smashed  the  railway  at  Hull  line-ups  'Hi  n  It  rd  millions  ,  Levin    is  still  did  not    inn  and  Uni  tin-,  statements  Institute  lin  in  in  admitting  him  His  MI  dead  statesman  was  Ina  li  tin  mines  In  a  din  his    want    no   theories  by  six  recognise  I  am  li  uni  Ivssv  thunder  suits»ript.on*  for  the  li  ist  artist  returns  exhibit  airline    n  mat  n  t  li  is  the  tin-,  nee  lulu  pits  was  stopped  I",10627773,https://api.trove.nla.gov.au/v3/newspaper/10627773,PROHIBITED IMMIGRANT.,Article,1907-04-10,9,9,"Goliath Joseph who poses as a Syrian missionary, but has railly come to Australia on a begging mission was refused permission to land in Fremantle and",https://nla.gov.au/nla.news-article10627773?searchTerm=Immigrant,,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",236.67529296875,very relevant
PROHIBITED  IMMIGRANT.   An  Indian  seaman  has  been  sen  tented  to  throe  montbs  imprisonment  on  on  a  charge  of  oping  a  prohibited  immigrant  found  within  the  Common  wealth.,111786205,https://api.trove.nla.gov.au/v3/newspaper/111786205,PROHIBITED IMMIGRANT.,Article,1903-03-17,3,3,An Indian seaman has been sentented to three months imprisonment on on a charge of being a prohibited immigrant found within the,https://nla.gov.au/nla.news-article111786205?searchTerm=Immigrant,,494,Moree Gwydir Examiner and General Advertiser (NSW : 1901 - 1940),236.67529296875,very relevant
"PROHIBITED  IMMIGRANT.   John  Ronald,  master  of  the  steamer  Vittoria,  was  fined  £100  for  allowing  a  Chinese  member  of  the  crew  to  enter  the  Commonwealth.  The  agents  paid   the  fine.",12778963,https://api.trove.nla.gov.au/v3/newspaper/12778963,PROHIBITED IMMIGRANT.,Article,1906-03-23,3,3,"John Ronald, master of the steamer Vittoria, was fined £100 for allowing a Chinese member of the crew to enter the Commonwealth. The agents paid",https://nla.gov.au/nla.news-article12778963?searchTerm=Immigrant,,10,"The Mercury (Hobart, Tas. : 1860 - 1954)",236.67529296875,very relevant
PROHIBITED  IMMIGRANT.   Ah  Tuck  was  arresfcad  for  being  a  pro  hibited  Immigrant.,198715864,https://api.trove.nla.gov.au/v3/newspaper/198715864,PROHIBITED IMMIGRANT.,Article,1909-03-20,10,10,Ah Tuck was arrested for being a prohibited immigrant.,https://nla.gov.au/nla.news-article198715864?searchTerm=Immigrant,,326,"Ovens and Murray Advertiser (Beechworth, Vic. : 1855; 1857 -  1890; 1892 - 1955)",236.67529296875,very relevant
"UNDESIRABLE  IMMIGRANT.   John  H.  Flint,  master  of  the  barque  Benares,  was  charged  in  the  District  Court  this  morning  with  allowing  N.  J.  Underhill,  a  prescribed  immigrant,  within  the  meaning  of  the  Immigra  tion  Restriction  Act,  1901,  to  enter  the  Com  monwealth  contrary  to  the  Act.  Uuderhill  was,   it  appears,  a  soutn  Airicau  negro,  ana  it  was  urged  in  defence  that  the  agent  for  the  vessel  had  taken  every  precaution  to  preveut  his  land  ing  by  seeing  Mr  Hunt  and  also  the  police  with  reference  to  the  matter.  A  special  constable  was  told  off  to  watch  the  wharves  bub  the  African  managed  to  get  away.  Defeudant  was  fined  L3  with  3  guineas  costs.",199639971,https://api.trove.nla.gov.au/v3/newspaper/199639971,UNDESIRABLE IMMIGRANT.,Article,1903-09-05,3,3,"John H. Flint, master of the barque Benares, was charged in the District Court this morning with allowing N. J. Underhill, a prescribed immigrant, within the meaning of the",https://nla.gov.au/nla.news-article199639971?searchTerm=Immigrant,,582,Mount Alexander Mail (Vic. : 1854 - 1917),236.67529296875,very relevant
"UNDESIRABLE  IMMIGRANT  1—   In""  the  Fremantle  Police  Court,  on  December  19,  R.  Pat-ey,  master  of  the  British  -steamer  Indian  .Monarch;  was  fined-4^100-for  having  allowed  a  Chin,  ese  named  Young  Lung  to  enter  the  Commo-ii'wealfcii.  The  man.  had'  escaped  from  the  vessel  when  sire  was  im  port-,  and  had  notbeen  capiAired  up  to  the  time  of  sailing..  Aireward  of  £20  was  offered  tor  his-  apjiaafrension,  and  on  January  7  he  was  captured  at  Jandakot.  Yp-unfMLung  was  detained  in  custody  untS  Monday  evening,  when  he  was  placed  &lt;«i  the  R.M.S.  Ortona,  and  his  passage-gaid  to  Colombo.  The  'fine  of  £100  will  now  be  refunded;  less-the  costs  incurred,  which  amounjj  to  about  £40,  inclusive  of  tt  reward  and  passage  money-.",202907810,https://api.trove.nla.gov.au/v3/newspaper/202907810,UNDESIRABLE IMMIGRANT,Article,1907-01-23,3,3 S,"In the Fremantle Police Court, on December 19, R. Patey, master of the British steamer Indian Monarch; was fined £100 for having allowed a",https://nla.gov.au/nla.news-article202907810?searchTerm=Immigrant,SECOND EDITION,975,"The Evening Star (Boulder, WA : 1898 - 1921)",236.67529296875,very relevant
"m  »  »  v  THE  IMMIGRANT.   Daring  the  hearing  of  the  application  of  the  half-caste  Stelling  for  leave  to  appeal  against  his  ejection,  the  acting  Chief  Justice  said  it  was  outrageous  thai   a  Customs  officer  should  be  allowed  to  arbitrarily  choose  the  language  in  which  an  immigrant  should  be  examined.  —  ""   N.S.W.  Worker  —   The  Judge,  he  dreamed  of  justice,  Of  justice  to  the  Chow,  ""  It's  an  outrage  that  Australia  Should  block  him""  anyhow.  Though  Parliament  —  the  Pe®ple's  will  —  Has  made  tbe  process  plain,  One-handed  Justice  tips  the  scales  Towards  the  alien  stain.  Let  foreigners  in  gladly,  The  scum  of  Lao-chung,  Examine  them  (for  Justice  sake)  '  In  their  own  native  tongue.""  Don't  choose  an  alien  language  The  Ski  can't  understand.  Or  give  Greek  to  the  little  Jap  From  the  Mikado's  land.  Let  Bewick,  Moreing's  Dagos  in  To  oust  our  own  kin  out,  Don't  try  them  in  the  speech  of  those  That  fiy  the  Russian  knout.  Deal  with  them  all  in  Justice  —  But  the  fiat  has  gone  forth  Australia  for  Australians,  From  farthest  South  to  North.  The  Judge,  he  spoke  of  Justice,  Of  fairness  to  Sin  Fat,  But  Justice  to  the  native-born  He'd  qnite  forgotten  that.  Oh,  let  him  read  the  Act  once  more  -  That  makes  the  process  plain.   The  way  to  block  the  immigrant  That  brings  the  alien  stain.   '—  P.G.",211587590,https://api.trove.nla.gov.au/v3/newspaper/211587590,THE IMMIGRANT.,Article,1904-03-20,12,12,"Daring the hearing of the application of the half-caste Stelling for leave to appeal against his ejection, the acting Chief Justice said it was outrageous that",https://nla.gov.au/nla.news-article211587590?searchTerm=Immigrant,,1091,"The Sun (Kalgoorlie, WA : 1898 - 1929)",236.67529296875,very relevant
"UNDESIRABLE  IMMIGRANT.   At  a  London  police  court  an  habitual  criminal  pleaded  for  his  discharge  on  the  ground  that  if  he  were  allowed  a  last  chance  ne  would  go  to  Australia.  The  magistrate  refused  the  plea.   .Captain  R.  M.  Collins,  the  Com  monwealth  representative  in  Lon  don,  has  written  a  letter  to  the  press,  in  which  he  directs  atten  tion  to  the  case  and  emphasises  the  fact  that  Australia  is  not  a  field  for  dumping  undesirables.",268540471,https://api.trove.nla.gov.au/v3/newspaper/268540471,UNDESIRABLE IMMIGRANT.,Article,1908-09-29,3,3,At a London police court an habitual criminal pleaded for his discharge on the ground that if he were allowed a last chance ne,https://nla.gov.au/nla.news-article268540471?searchTerm=Immigrant,,1830,"The North Eastern Despatch (Wangaratta, Vic. : 1907 - 1913)",236.67529296875,very relevant
"Immigrant  Girls.   The  arrival  of  the  immigrant  girls  by  the  Surrey  directs  attention  to  the  whole  question  of  how  our  population  may  most  easily  be  increased.  The  best  of  all  ways  is  probably  the  gradual  growth  of  generation  after  generation,  But  it  is  usually  a  slow  way.  European  popula-,  tiona  on  an  average  double  themselves  in  a  hundred  years.  England  performs  the  same  feat  in  sixty  years  or  so.  The  Russian  Jew  is  credited  with  being  so  prolific  as  to  double  in  numbers  every  fourteen  years,  but  that  is  probably  an  exaggeration.  Yet  if  Western  Australia  were  to  wait  fifty  years  for  her  popula-  tion  to  reach  360,000  it  would  be  discour-  aging  to  those-and  they  are  the  major-  ity  in  any  country-who  wish  to  see  the  greatest  possible  improvement  in  their  own  day.  We  might,  of  course,-have  en  other  rush  from  eastern  Australia,  but  no  part,  of  the  Commonwealth'  can  spare  population.  As  experience  shows,  wo  can  do  a  little  towards  assisting  emi-  grants  from  England.  But  it  is  little,  and  while  England  enjoys  such  good  times  as  at  present  it  is  not  likely  to  greatly  in-  crease.  As  for  the  immigrants  who  can  pay  their  way,  we  already  offer  free  land  ana  ¿ll  sorts  of  facilities.  These  are  not  suf-  ficient  to  deflect  the  scream  that  goes  westward  across  the  Atlantic,  Every  col-  ony  is  faced  with  the  same  difficulty.  Each  has  triecÇseveral  methods.  Queens-  land  did  much  in  the  way  of  assisted  pas-  sages.  Worked  with  proper  safeguards  it  is  successful,  but  is  too  costly  for  indefi-  nite  expansion.  In  ten  years  the  total  increase  in  the  population  of  Australia  by  excess  of  arrivals  over  departures  has  not  been  greatly  above  100,000.  This  is  less  than  the  natural  increase  by  the  ex-  cess  of  births  over  deaths  in  two  normal  years.  There  is  a  tendency  in  many  ?quarters  to  regard  any  great  influx  from  old  lands  with  suspicion,  on  the  ground  that  it  reduces  wages.'  Even  if  it  tempor-  arily  reduces  wages-which  is  far  from  proved-this  is  a  shortsighted  view'  to  take.  Every  additional  honest  indust-  rious  man  in  the  community  is  a  distinct  gain,  and  the  same  is  the  case  with  wo-  men  and  children.  There  has  been  ob-  jection  to  the  immigrant  girls  on  this  bas-  is.  In  any  case  there  are  not  enough  of  them  to  make,  any  considerable  difference  one  way  or  another.  It  is  a  half-hearted  way  of  dealing  with  the  problem.  If  Aus-  tralia  decides  not  to  try  assisted  passages  from  England,  it  might  attempt  to  wide-  ly  advertise  on  the  continent  of  Europe,  and  so  get  some  of  the  alien  wave  that  floods  into  the  United  States.  But  if  the  labour  party  regards  some  classes  of  Eng-  lish  immigrants  with  some  suspicion,  a  far  larger  section  of  the  .  community  would  opposé  any  considerable  irruption  of  Italians,  Spaniard«,  Austrians,  or  even  Germans  and  Scandinavians.  Yet  out  of  these  races  the  United  States  is  making  A  strong  English  speaking  community.  If  Australia  is  fed  by  only  a  slight  stream  of  immigration  it  will  apparently  show  the  world  a  country  in  which  there  is  a  very  high  average  standard  of  living)  and  a  verv  sparse  population.  This  will  make  us  perpetually  subject  to  the  revivar  of  that  old  bugbear-an  Asiatic  invasion  of  the  tropical  north.  If  we  had-a  con-  siderable  population  that  scare  would  be  laid  for  eyer.  But  at  present  the  Com-  monwealth  consists  of  some  four  million  of  people  who  have  hold  of  a  very  large  estate  which  it  may  take  them  all  their  time  and  skill  and  bravery  to  retain.",33199598,https://api.trove.nla.gov.au/v3/newspaper/33199598,Immigrant Girls.,Article,1901-02-02,27,27,The arrival of the immigrant girls by the Surrey directs attention to the whole question of how our population may most easily be increased. The best of all,https://nla.gov.au/nla.news-article33199598?searchTerm=Immigrant,,101,"Western Mail (Perth, WA : 1885 - 1954)",236.67529296875,very relevant
