article_text,article_id,article_URL,article_heading,category,article_date,article_page,article_page_sequence,article_Trove_URL,article_snippet,article_title_id,article_title_title,article_relevance_score,article_relevance_value
"migrant GLASGOW, . Thursday (AAP). - One of Scotland's nos t-experienced foot ballers, inside forward Will ie Wallace, emigrates to Australia tomorrow. Wal lace, a former Celtic, Hearts and London Crystal Palace player, is joining the Apia Club in Sydney.",116340086,https://api.trove.nla.gov.au/v3/newspaper/116340086,Immigrant,Article,1975-03-28,11,11,https://nla.gov.au/nla.news-article116340086?searchTerm=Immigrant,"GLASGOW, Thursday (AAP). — One of Scotland's most-experienced footballers, inside forward",11,The Canberra Times (ACT : 1926 - 1995),263.36505126953125,very relevant
"Immigrant children More (ban 9,000 new im migrant' children.- studying in elementary and high schools receive special attention. Included are special ab sorption classes that enable smooth integration. There is also financial aid . in buying books, school uniforms, and other extra-curricular costs. ’ Every immigrant child is en titled to free education through high school. Last year a special matriculation programme helped prepare 950 immigrant students for the . final examinations that lead to their entrance into university.",262521765,https://api.trove.nla.gov.au/v3/newspaper/262521765,Immigrant children,Article,1977-06-10,23,23,https://nla.gov.au/nla.news-article262521765?searchTerm=Immigrant,"More than 9,000 new immigrant children studying in elementary and high schools receive special attention.",1685,"The Australian Jewish News (Melbourne, Vic. : 1935 - 1999)",236.0190887451172,very relevant
"Immigrant request TEL AVIV Claude Lipsky, the French-Jewish property de veloper, sought by the Paris police for questioning in con nection with a property scan dal, has asked the Interior Ministry in Jerusalem for im migrant status. He is basing his demand on the Law of Re turn of 1952. Interior Ministry sources in dicated that it was their inten tion to investigate Mr Lip sky’s Jewishness before taking any decision. France has asked Israel to question Mr Lipsky on a num ber of facts connected with the charges against him. . Meanwhile, Israel has no in tention of extraditing Mr Lip sky as long as Paris refuses to sign an already negotiated extradition treaty ratified by Israel. (JCNS).",263134352,https://api.trove.nla.gov.au/v3/newspaper/263134352,Immigrant request,Article,1971-11-25,12,12,https://nla.gov.au/nla.news-article263134352?searchTerm=Immigrant,"TEL AVIV: Claude Lipsky, the French-Jewish property developer, sought by the Paris police for questioning in",1694,"The Australian Jewish Times (Sydney, NSW : 1953 - 1990)",236.00494384765625,very relevant
New immigrant   This 95-year-old Bukharan Jew was one of the new immigrants who arrived at Ben-Gurion Airport recently.,263239396,https://api.trove.nla.gov.au/v3/newspaper/263239396,New immigrant,Article,1979-02-15,10,10,https://nla.gov.au/nla.news-article263239396?searchTerm=Immigrant,This 95-year-old Bukharan Jew was one of the new immigrants who arrived at Ben-Gurion Airport recently.,1694,"The Australian Jewish Times (Sydney, NSW : 1953 - 1990)",235.8499298095703,very relevant
"IMMIGRANT CITATION JERUSALEM: A Soviet Jewish immigrant from G e orgia, Aharon Ilickshivili has been awar ded an Israeli Navy distinguished service order for work he did on naval ships during the Yom Kip pur War in 1073. Mr Ilickshivili was given the award for his efficiency and devotion under dif ficult conditions, when he helped to service and repair engines of torpedo boats which were in action virtually day and night during the war. (JCNS)",263243015,https://api.trove.nla.gov.au/v3/newspaper/263243015,IMMIGRANT CITATION,Article,1975-12-18,9,9,https://nla.gov.au/nla.news-article263243015?searchTerm=Immigrant,"JERUSALEM: A Soviet Jewish immigrant from Georgia, Aharon Hickshivili has been",1694,"The Australian Jewish Times (Sydney, NSW : 1953 - 1990)",235.5803985595703,very relevant
"Unusual Immigrant HAIFA (JCNS): Isr grant — in the view of J have dealt with hundrec years — arrived here to three children. He is the former Mr. Dieter von Schwarz, 30, a member of a noble German Protestant family, now known as Ger shon Ben-Abraham. He is an architect by profession. He and his wife and child ren became proselytes in 1968. Mr. Ben-Abraham said that he intended to live as - an Orthodox Jew, although poli. tically, he was Left-wing. Among his ancestors, he stated there had been a num ber of Jews converted to Christianity. One of them, Gottlieb Suarez, wrote a constitution for Frederick the Great of ael’s most unusual immi. iwish Agency officials who Is of thousands over the settle with his wife and I Prussia and another wrote [ the Austrian penal code for the Emperor Franz Josef. He took to studying Judaism after what the Nazis, did to the Jews, Mr., Ben Abraham said, and was con': verted by Rabbi Itzhak Grun Wald, of Munich, after being circumcised at the Jewish hospital in Amsterdam. The yarmulka-wearing Mr. Ben-Abraham has been dis owned by his family because they disapprove of his mar riage. i The Jewish Agency sent him and his wife and child ren to Afula, because they insisted on going to a place with a mikva.",262485995,https://api.trove.nla.gov.au/v3/newspaper/262485995,Unusual Immigrant,Article,1970-04-24,10,10,https://nla.gov.au/nla.news-article262485995?searchTerm=Immigrant,HAIFA (JCNS): Isr grant — in the view of J[?] have dealt with hundrec years — arrived here to,1685,"The Australian Jewish News (Melbourne, Vic. : 1935 - 1999)",235.1581268310547,very relevant
"Immigrant groups Sir, - Congratulations on your informative article 'The assimilated but unusual Dutch (The Canberra Times, May 13). We hope that this will be first in a series of articles which will look at immigrant groups in the Canberra Queanbeyan community and con tribute to a better understanding of them, by all Australians, whatever their ethnic background. I think The Canberra Times should reflect the interest of the whole community, and that means providing more news coming from immigrant source countries. THOMAS LEFFERS Fisher.",131857027,https://api.trove.nla.gov.au/v3/newspaper/131857027,Immigrant groups,Article,1978-06-05,2,2,https://nla.gov.au/nla.news-article131857027?searchTerm=Immigrant,"Sir, — Congratulations on your informative article 'The assimilated but unusual Dutch (The Canberra Times, May 13).",11,The Canberra Times (ACT : 1926 - 1995),234.44198608398438,very relevant
"IMMIGRANT COUNCIL JERUSALEM: Falasha im migrants in Israel have formed a public council with the aim of helping all members of the Falasha community in Ethio pia to emigrate to Israel. It has appealed to the Gov ernment and Jewish organisa tions and communities through out the world for support. The inaugural meeting was attended by some 130 young men and women who have settled here. ' Despite the creation of the council, there is little optimism among the members that there will be any change in the Government and Jewish Agen cy’s policy of “disinterest” over the fate of the communi ty in Ethiopia.",263204445,https://api.trove.nla.gov.au/v3/newspaper/263204445,IMMIGRANT COUNCIL,Article,1974-04-18,1,1,https://nla.gov.au/nla.news-article263204445?searchTerm=Immigrant,JERUSALEM: Falasha immigrants in Israel have formed a public council with the aim of helping all members of the,1694,"The Australian Jewish Times (Sydney, NSW : 1953 - 1990)",233.65110778808594,very relevant
"1 l V e .. . immigrant absorption e I Over 300 volunteers in the (55 WIZO branches that have Absorption Committees are active in helping im migrants, whom they assist at every stage of their ab sorption.",263234270,https://api.trove.nla.gov.au/v3/newspaper/263234270,... immigrant absorption,Article,1978-10-26,13,13,https://nla.gov.au/nla.news-article263234270?searchTerm=Immigrant,"Over 300 volunteers in the (55 WIZO branches that have Absorption Committees are active in helping immigrants, whom they assist at every stage of their absorption.",1694,"The Australian Jewish Times (Sydney, NSW : 1953 - 1990)",233.63815307617188,very relevant
"Immigrant amnesty The amnesty for pro- hibited immigrants fore- shadowed by the Govern ment could be sought by all visitors who had over- stayed at December 31, 1975, the Minister for Immigration and Ethnic Affairs, Mr MacKellar, said yesterday. Those who met the nor- mal standards of health and good character would be granted resident status. Am- nesty would not be granted to people with serious crimi nal records or to those who might be the subject of de- portation orders arising from criminal acts. The offer would remain open until April 30, 1976,",110799059,https://api.trove.nla.gov.au/v3/newspaper/110799059,Immigrant amnesty,Article,1976-01-26,3,3,https://nla.gov.au/nla.news-article110799059?searchTerm=Immigrant,The amnesty for prohibited immigrants foreshadowed by the Government could be sought by,11,The Canberra Times (ACT : 1926 - 1995),232.99179077148438,very relevant
