danish_monarch;birth_date_year;death_date_year;reign_start_date_year;reign_end_date_year;;duration
Frederik  10.;1968;NA;2024;NA;;NA
Margrethe 2.;1940;NA;1972;2024;;52
Frederik 9.;1899;1972;1947;1972;;25
Christian 10.;1870;1947;1912;1947;;35
Frederik 8.;1843;1912;1906;1912;;6
Christian 9.;1818;1906;1863;1906;;43
Frederik 7.;1808;1863;1848;1863;;15
Christian 8.;1786;1848;1839;1848;;9
Frederik 6.;1768;1839;1808;1839;;31
Christian 7.;1749;1808;1766;1808;;42
Frederik 5.;1723;1766;1746;1766;;20
Christian 6.;1699;1746;1730;1746;;16
Frederik 4.;1671;1730;1699;1730;;31
Christian 5.;1646;1699;1670;1699;;29
Frederik 3.;1609;1670;1648;1670;;22
Christian 4.;1577;1648;1588;1648;;60
Frederik 2.;1534;1588;1559;1588;;29
Christian 3.;1503;1559;1536;1559;;23
Frederik 1.;1471;1533;1523;1533;;10
Christian 2.;1481;1559;1513;1523;;10
Hans;1455;1513;1482;1513;;31
Christian 1.;1426;1481;1448;1481;;33
Christoffer 3.;1416;1448;1440;1448;;8
Erik 7.;1382;1459;1389;1439;;50
Margrete 1.;1353;1412;1387;1396;;9
Oluf 2.;1370;1387;1375;1387;;12
Valdemar 4.;1320;1375;1340;1375;;35
Christoffer 2.;1276;1332;1329;1332;;3
Valdemar 3.;1315;1364;1326;1329;;3
Christoffer 2.;1276;1332;1319;1326;;7
Erik 6.;1274;1319;1286;1319;;33
Erik 5.;1249;1286;1259;1286;;27
Christoffer 1.;1219;1259;1252;1259;;7
Abel;1218;1252;1250;1252;;2
Erik 4.;1216;1250;1241;1250;;9
Valdemar 2.;1170;1241;1202;1241;;39
Knud 4.;1163;1202;1182;1202;;20
Valdemar 1.;1131;1182;1157;1182;;25
Svend 3.;1125;1157;1146;1157;;11
Knud 3.;NA;1157;1146;1157;;11
Valdemar 1.;1131;1182;1157;1182;;25
Erik 3.;1120;1146;1137;1146;;9
Erik 2.;1090;1137;1134;1137;;3
Niels;1063;1134;1104;1134;;30
Erik 1.;1056;1103;1095;1103;;8
Oluf 1.;1050;1095;1086;1095;;9
Knud 2.;1042;1086;1080;1086;;6
Harald 3.;NA;1080;1074;1080;;6
Svend 2.;NA;1076;1047;1074;;27
Magnus;1024;1047;1042;1047;;5
Hardeknud;1020;1042;1035;1042;;7
Knud 1.;995;1035;1018;1035;;17
Harald 2.;NA;1018;1014;1018;;4
Svend 1.;NA;1014;NA;NA;;NA
Harald 1.;NA;987;NA;NA;;NA
Gorm;NA;958;936;NA;;NA
;;;;;;0
